"","queryHits","subjectHits","locus"
"1",1,87577,"BnaA03g22150D"
"2",1,87578,"BnaA03g22140D"
"3",1,87579,"BnaA03g22130D"
"4",1,87580,"BnaA03g22120D"
"5",1,87581,"BnaA03g22110D"
"6",1,87582,"BnaA03g22100D"
"7",1,87583,"BnaA03g22090D"
"8",1,87584,"BnaA03g22080D"
"9",1,87585,"BnaA03g22070D"
"10",1,87586,"BnaA03g22060D"
"11",1,87587,"BnaA03g22050D"
"12",1,87588,"BnaA03g22040D"
"13",1,87589,"BnaA03g22030D"
"14",1,87590,"BnaA03g22020D"
"15",1,87591,"BnaA03g22010D"
"16",1,87592,"BnaA03g22000D"
"17",1,87593,"BnaA03g21990D"
"18",1,87594,"BnaA03g21980D"
"19",1,87595,"BnaA03g21970D"
"20",1,87596,"BnaA03g21960D"
"21",1,87597,"BnaA03g21950D"
"22",1,87598,"BnaA03g21940D"
"23",1,87599,"BnaA03g21930D"
"24",1,87600,"BnaA03g21920D"
"25",1,87601,"BnaA03g21910D"
"26",1,87602,"BnaA03g21900D"
"27",1,87603,"BnaA03g21890D"
"28",1,87604,"BnaA03g21880D"
"29",1,87605,"BnaA03g21870D"
"30",1,87606,"BnaA03g21860D"
"31",1,87607,"BnaA03g21850D"
"32",1,87608,"BnaA03g21840D"
"33",1,87609,"BnaA03g21830D"
"34",1,87610,"BnaA03g21820D"
"35",1,87611,"BnaA03g21810D"
"36",1,87612,"BnaA03g21800D"
"37",1,87613,"BnaA03g21790D"
"38",1,87614,"BnaA03g21780D"
"39",1,87615,"BnaA03g21770D"
"40",1,87616,"BnaA03g21760D"
"41",1,87617,"BnaA03g21750D"
"42",1,87618,"BnaA03g21740D"
"43",1,87619,"BnaA03g21730D"
"44",1,87620,"BnaA03g21720D"
"45",1,87621,"BnaA03g21710D"
"46",1,87622,"BnaA03g21700D"
"47",1,87623,"BnaA03g21690D"
"48",1,87624,"BnaA03g21680D"
"49",1,87625,"BnaA03g21670D"
"50",1,87626,"BnaA03g21660D"
"51",1,87627,"BnaA03g21650D"
"52",1,87628,"BnaA03g21640D"
"53",1,87629,"BnaA03g21630D"
"54",1,87630,"BnaA03g21620D"
"55",1,87631,"BnaA03g21610D"
"56",1,87632,"BnaA03g21600D"
"57",1,87633,"BnaA03g21590D"
"58",1,87634,"BnaA03g21580D"
"59",1,87635,"BnaA03g21570D"
"60",1,87636,"BnaA03g21560D"
"61",1,87637,"BnaA03g21550D"
"62",1,87638,"BnaA03g21540D"
"63",1,87639,"BnaA03g21530D"
"64",1,87640,"BnaA03g21520D"
"65",1,87641,"BnaA03g21510D"
"66",1,87642,"BnaA03g21500D"
"67",1,87643,"BnaA03g21490D"
"68",1,87644,"BnaA03g21480D"
"69",1,87645,"BnaA03g21470D"
"70",1,87646,"BnaA03g21460D"
"71",1,87647,"BnaA03g21450D"
"72",1,87648,"BnaA03g21440D"
"73",1,87649,"BnaA03g21430D"
"74",1,87650,"BnaA03g21420D"
"75",1,87651,"BnaA03g21410D"
"76",1,87652,"BnaA03g21400D"
"77",1,87653,"BnaA03g21390D"
"78",1,87654,"BnaA03g21380D"
"79",1,87655,"BnaA03g21370D"
"80",1,87656,"BnaA03g21360D"
"81",1,87657,"BnaA03g21350D"
"82",1,87658,"BnaA03g21340D"
"83",1,87659,"BnaA03g21330D"
"84",1,87660,"BnaA03g21320D"
"85",1,87661,"BnaA03g21310D"
"86",1,87662,"BnaA03g21300D"
"87",1,87663,"BnaA03g21290D"
"88",1,87664,"BnaA03g21280D"
"89",1,87665,"BnaA03g21270D"
"90",1,87666,"BnaA03g21260D"
"91",1,87667,"BnaA03g21250D"
"92",1,87668,"BnaA03g21240D"
"93",1,87669,"BnaA03g21230D"
"94",1,87670,"BnaA03g21220D"
"95",1,87671,"BnaA03g21210D"
"96",1,87672,"BnaA03g21200D"
"97",1,87673,"BnaA03g21190D"
"98",1,87674,"BnaA03g21180D"
"99",1,87675,"BnaA03g21170D"
"100",1,87676,"BnaA03g21160D"
"101",1,87677,"BnaA03g21150D"
"102",1,87678,"BnaA03g21140D"
"103",1,87679,"BnaA03g21130D"
"104",1,87680,"BnaA03g21120D"
"105",1,87681,"BnaA03g21110D"
"106",1,87682,"BnaA03g21100D"
"107",1,87683,"BnaA03g21090D"
"108",1,87684,"BnaA03g21080D"
"109",1,87685,"BnaA03g21070D"
"110",1,87686,"BnaA03g21060D"
"111",1,87687,"BnaA03g21050D"
"112",1,87688,"BnaA03g21040D"
"113",1,87689,"BnaA03g21030D"
"114",1,87690,"BnaA03g21020D"
"115",1,87691,"BnaA03g21010D"
"116",1,87692,"BnaA03g21000D"
"117",1,87693,"BnaA03g20990D"
"118",1,87694,"BnaA03g20980D"
"119",1,87695,"BnaA03g20970D"
"120",1,87696,"BnaA03g20960D"
"121",1,87697,"BnaA03g20950D"
"122",1,87698,"BnaA03g20940D"
"123",1,87699,"BnaA03g20930D"
"124",1,87700,"BnaA03g20920D"
"125",1,87701,"BnaA03g20910D"
"126",1,87702,"BnaA03g20900D"
"127",1,87703,"BnaA03g20890D"
"128",1,87704,"BnaA03g20880D"
"129",1,87705,"BnaA03g20870D"
"130",1,87706,"BnaA03g20860D"
"131",1,87707,"BnaA03g20850D"
"132",1,87708,"BnaA03g20840D"
"133",1,87709,"BnaA03g20830D"
"134",1,87710,"BnaA03g20820D"
